站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
台北捷運淡水站,新北市淡水區中正路捷運站2號出口(近鼻頭街)​,24HR,已啟用,25.166938,121.447050,https://cdn.gogoro.com/resources/images/gostations/TW2515801A_01.jpg
台北捷運竹圍站,新北市淡水區民權路捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.135993,121.459672,https://cdn.gogoro.com/resources/images/gostations/TW2517302A_01.jpg
台北捷運芝山站,台北市士林區福華路捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.101358,121.522666,https://cdn.gogoro.com/resources/images/gostations/TW1115801A_01.jpg
台北捷運輔大站(3號出口),新北市新莊區福營路捷運站3號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.032480,121.436557,https://cdn.gogoro.com/resources/images/gostations/TW2420501A_01.jpg
台北捷運輔大站(4號出口),新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.033033,121.436459,https://cdn.gogoro.com/resources/images/gostations/TW2420502A_01.jpg
台南安平港風景區停車場站,台南市安平區運河路43號-1(近安平遊憩碼頭旁),24HR,已啟用,22.997400,120.160400,https://cdn.gogoro.com/resources/images/gostations/TW7084201A_01.jpg
台南德安百貨站,台南市東區中華東路三段360號(近台南文化中心),24HR,已啟用,22.974248,120.220586,https://cdn.gogoro.com/resources/images/gostations/TW7016701A_01.jpg
台南東區環保局停車場站,台南市東區中華東路二段133巷72號(近環保局與自強里活動中心之間),24HR,已啟用,22.984130,120.235130,https://cdn.gogoro.com/resources/images/gostations/TW7014901A_01.jpg
台南永華市政中心站,台南市安平區永華路二段6號(近市政中心左側，機車停車場),24HR,已啟用,22.992150,120.184280,https://cdn.gogoro.com/resources/images/gostations/TW7080101A_01.jpg
台塑中泰加油站,新北市泰山區泰林路二段32號(近中港西路/泰林路口),24HR,已啟用,25.057258,121.436292,https://cdn.gogoro.com/resources/images/gostations/TW2435702A_01.jpg
台塑政大加油站,台北市文山區指南路一段53號(近木新路/指南路口),24HR,已啟用,24.988278,121.571019,https://cdn.gogoro.com/resources/images/gostations/TW1166401A_01.jpg
台塑福華加油站,台北市文山區興隆路二段244巷1號(近萬芳醫院),24HR,已啟用,25.000692,121.553898,https://cdn.gogoro.com/resources/images/gostations/TW1169001A_01.jpg
台灣表面黏著科技站,桃園市桃園區桃鶯路437號(近可口可樂世界博物館),24HR,已啟用,24.978821,121.321589,https://cdn.gogoro.com/resources/images/gostations/TW3306801A_01.jpg
台糖七星加油站(建置中),台中市后里區三豐路18之1號(近后里馬場),24HR,建置中,24.297695,120.724058,https://cdn.gogoro.com/resources/images/gostations/TW4214701A_01.jpg
台糖光明加油站(建置中),雲林縣虎尾鎮光明路105號(近虎尾鎮立圖書館),24HR,建置中(其他狀態100),23.707793,120.449229,https://cdn.gogoro.com/resources/images/gostations/TW6325301A_01.jpg
台糖博學加油站,高雄市小港區博學路481號(近高雄餐旅大學),24HR,已啟用,22.563259,120.370829,https://cdn.gogoro.com/resources/images/gostations/TW8126701A_01.jpg
台糖吉峰加油站(建置中),台中市霧峰區吉峰路225號(吉峰路/民生路口),24HR,建置中,24.076803,120.715641,https://cdn.gogoro.com/resources/images/gostations/TW4134801A_01.jpg
台糖崇德加油站,台南市東區崇德路790號(近崇德路/生產路口),24HR,已啟用,22.964778,120.227450,https://cdn.gogoro.com/resources/images/gostations/TW7017601A_01.jpg
台糖新進加油站,台南市新營區新進路199號(近新營糖廠),24HR,已啟用,23.301848,120.317166,https://cdn.gogoro.com/resources/images/gostations/TW7304801A_01.jpg
台糖永安加油站,台南市永康區永安路350號(近永安橋),24HR,已啟用,23.049354,120.241017,https://cdn.gogoro.com/resources/images/gostations/TW7108101A_01.jpg
台糖高鐵加油站,高雄市仁武區高楠公路55號(近高鐵左營基地),24HR,已啟用,22.693549,120.321801,https://cdn.gogoro.com/resources/images/gostations/TW8145301A_01.jpg
台糖鳳仁加油站,高雄市仁武區鳳仁路102號(近獅龍溪),24HR,已啟用,22.690228,120.350862,https://cdn.gogoro.com/resources/images/gostations/TW8146201A_01.jpg
台糖鳳凰加油站(建置中),台中市大里區鳳凰路50號(近光正國中),24HR,建置中,24.095211,120.717147,https://cdn.gogoro.com/resources/images/gostations/TW4127901A_01.jpg
善化區農會站,台南市善化區中山路242號(近中華電信善化服務中心),24HR,已啟用,23.132253,120.297461,https://cdn.gogoro.com/resources/images/gostations/TW7415401A_01.jpg
善化國小站(建置中),台南市善化區進學路63號(近文康育樂中心),24HR,建置中(其他狀態100),23.136140,120.288948,https://cdn.gogoro.com/resources/images/gostations/TW7418101A_01.jpg
基隆東岸地下停車場站,基隆市仁愛區仁二路236號(地下一樓機車停車場)(近基隆廟口),24HR,已啟用,25.130253,121.743796,https://cdn.gogoro.com/resources/images/gostations/TW2004801A_01.jpg
基隆港海產樓站,基隆市信義區信二路181號(轉角義六路旁停車場)(近衛生福利部基隆醫院),24HR,已啟用,25.129193,121.750977,https://cdn.gogoro.com/resources/images/gostations/TW2014701A_01.jpg
大潤發中和景平店站,新北市中和區景平路182號(地下三樓機車停車場)(近景平路/景平路240巷口),24HR,已啟用,24.992427,121.516377,https://cdn.gogoro.com/resources/images/gostations/TW2358101A_01.jpg
大潤發台中忠明店站,台中市北區忠明路499號(近國軍台中總醫院),24HR,已啟用,24.163088,120.671618,https://cdn.gogoro.com/resources/images/gostations/TW4046601A_01.jpg
大潤發台南店站,台南市北區臨安路2段310號(近B1機車停車場),07:30 ~ 23:00,已啟用,23.004520,120.203000,https://cdn.gogoro.com/resources/images/gostations/TW7045001A_01.jpg
大潤發鳳山店站,高雄市鳳山區文化路59號(近鳳山商工),24HR,已啟用,22.633850,120.354820,https://cdn.gogoro.com/resources/images/gostations/TW8304501A_01.jpg
