站名,地址,營業時間,目前狀態,緯度,經度
家樂福崇德店站,台中市北區崇德路一段635號(崇德路一段/漢口路四段交叉口),06:30 ~ 23:30,已啟用,24.167703,120.684903
家樂福彰化店站,彰化縣彰化市金馬路二段321號(近金馬路/東谷路),24HR,已啟用,24.094641,120.542186
家樂福文心店站,台中市南屯區文心路一段521號(文心路一段/大業路交叉口),24HR,已啟用,24.153917,120.646406
家樂福蘆洲店站,新北市三重區五華街282號(地下一樓機車停車場)(近三重集賢環保公園),24HR,已啟用,25.087527,121.486609
家樂福豐原店站,台中市豐原區成功路500號(近成功路/建成路),24HR,已啟用,24.251830,120.706189
家樂福高雄五甲店站,高雄市鳳山區林森路291號(文豐街13巷入口旁),24HR,已啟用,22.597134,120.336313
家樂福高雄光華店站,高雄市前鎮區光華二路157號(近中正高工對面),08:00 ~ 22:00,已啟用,22.611061,120.317379
家樂福高雄成功店站,高雄市前鎮區中華五路1111號(家樂福/IKEA中間),24HR,已啟用,22.605490,120.304620
家樂福高雄楠梓店站,高雄市楠梓區藍田路288號(近中山高中),24HR,已啟用,22.727367,120.291102
家樂福高雄澄清店站,高雄市三民區澄清路635號(近澄清路/澄和路口),24HR,已啟用,22.644160,120.346120
家樂福高雄鳳山店站,高雄市鳳山區中山西路236號(近家樂福機車服務中心),09:00 ~ 23:00,已啟用,22.627902,120.347984
家樂福高雄鼎山店站,高雄市三民區大順二路849號(鼎山街機車停車場),24HR,已啟用,22.652947,120.318479
山隆中和加油站,新北市中和區中正路1178號(近板南路/中正路交接口),24HR,已啟用,25.009606,121.481719
山隆林口加油站,新北市林口區文化二路二段553號(近中華路/文化二路口),24HR,已啟用,25.090349,121.383464
山隆樹林加油站,新北市樹林區中華路66號(近中華路/八德街口),24HR,已啟用,24.982010,121.420270
山隆興隆加油站,新北市三重區重新路五段628號(近家樂福重新店),24HR,已啟用,25.044862,121.469163
山隆華中加油站,台北市萬華區萬大路388號(近東園國小),24HR,已啟用,25.021848,121.498647
山隆萬大加油站,台北市萬華區萬大路207號(近萬大路/西藏路口),24HR,已啟用,25.027161,121.500717
山隆蘆竹加油站,桃園市蘆竹區南崁路二段532號(近南崁路/富國路口),24HR,已啟用,25.063696,121.265244
山隆鶯歌加油站,新北市鶯歌區永和二街28號(近大湖路/永和街口),24HR,已啟用,24.971661,121.336631
山隆龍興加油站,桃園市中壢區龍興路693號(近家樂福中壢店),24HR,已啟用,24.944908,121.245065
德志茶園站,新北市坪林區北宜路八段239號(近坪林旅遊服務中心),24HR,已啟用,24.935095,121.709245
振興公園地下停車場站,台北市北投區天母西路112號(地下一樓機車停車場)(近臺北榮民總醫院),24HR,已啟用,25.118785,121.523261
文藻美語土城站,新北市土城區延和路42-1號(近安和國小),24HR,已啟用,24.988777,121.465238
新化聯合活動中心站(建置中),台南市新化區民生路269號(近農田水利會),24HR,建置中,23.042164,120.306927
昇冠加油站,新竹市北區經國路二段1號(近經國路二段/東大路口),24HR,已啟用,24.813603,120.967373
普拉伯義大利坊竹北文興店站,新竹縣竹北市文興路一段273號(近文興路/嘉豐南路口),24HR,已啟用,24.809012,121.031764
有情門裕農店站,台南市東區裕農路962號(近裕農路/裕信路口),24HR,已啟用,22.990047,120.244777
東吳大學城區部站,台北市中正區延平南路133巷底(近東吳大學校區),24HR,已啟用,25.037808,121.509199
松山工農地下停車場站,台北市信義區忠孝東路5段236巷15號(地下一樓機車停車場)(近松山工農),24HR,已啟用,25.039061,121.572484
機器人王國站,台北市中正區中華路二段165號(近中華路/莒光路口),24HR,已啟用,25.030812,121.504192
熊展通訊站,台北市萬華區雙園街150號1樓(近環河南路/雙園街口),24HR,已啟用,25.031607,121.491913
特力家居站,桃園市蘆竹區中正路1號(近榮興橋),24HR,已啟用,25.040449,121.295583
禾悅生活士林店站,台北市士林區承德路四段233號(近百齡高中),24HR,已啟用,25.088469,121.522063
米格國際站,桃園市八德區建國路626號(於米格國際股份有限公司門口),24HR,已啟用,24.946594,121.289121
紅酋長美式餐廳站,桃園市桃園區南平路546號(同德國中正對面),24HR,已啟用,25.016126,121.293369
臺中州廳站,台中市西區民權路99號(近民權路/市府路口),24HR,已啟用,24.138788,120.678733
臺中草悟廣場站,台中市西區英才路534號(近草悟道),24HR,已啟用,24.149427,120.665136
蘋果派站,台北市文山區羅斯福路五段183號(近捷運萬隆站3號出口),11:00 ~ 22:00,已啟用,25.002812,121.538904
西歐新竹中華加油站,新竹市東區中華路二段59號(近新竹高工),24HR,已啟用,24.808151,120.981899
西歐桃園中山加油站,桃園市桃園區中山路1536號(近衛生福利部桃園醫院),24HR,已啟用,24.975859,121.265980
超傑科技站,新北市新莊區化成路349巷14號(近頭前國小),24HR,已啟用,25.056612,121.465020
車太炫中壢新生站,桃園市中壢區新生路二段9-3號(近新生路二段/永清街口),24HR,已啟用,24.976463,121.222804
車太炫台中南屯站,台中市南屯區永春東路1242號(近南屯國小),24HR,已啟用,24.136748,120.633916
車太炫新北汐止站,新北市汐止區汐萬路一段39-5號(近汐止國小),24HR,已啟用,25.068950,121.654516
鐵人館站,台中市北屯區軍功路一段603號(近軍功國小),24HR,已啟用,24.174375,120.718979
雅香茶莊站,新北市石碇區北宜路六段13股巷1號(近十三股),24HR,已啟用,24.947447,121.649224
霖泓通訊-文山木柵店站,台北市文山區興隆路四段49-2號(近興隆路/木柵路口),24HR,已啟用,24.990074,121.559675
香草天空站,新北市坪林區水柳腳190之4號(近坪林親水公園),10:00 ~ 18:00,已啟用,24.935909,121.703498
高雄第一科技大學站,高雄市楠梓區芎蕉路216號(近芎蕉路/芎林一街路口),24HR,已啟用,22.750800,120.328840
