站名,地址,營業時間,目前狀態,緯度,經度
中油建龍站,桃園市龍潭區中豐路716號 (近中豐路/工五路口),24HR,已啟用,24.888983,121.212964
北基忠義加油站,桃園市龜山區忠義路一段496號 (近忠義路/光華路口),24HR,已啟用,25.012155,121.347582
中油新坡站,桃園市觀音區中山路二段794號 (近中山路/環中路口),24HR,已啟用,25.010665,121.139445
山隆加油站蘆竹站,桃園市蘆竹區南崁路二段532號 (近南崁路/富國路口),24HR,已啟用,25.063696,121.265244
台灣中油金陵加油站,桃園市平鎮區金陵路二段123號 (近環南路/金陵路口),24HR,已啟用,24.940301,121.223289
中油龍岡站,桃園市中壢區環中東路二段659號 (近還中東路/龍岡路口),24HR,已啟用,24.944290,121.230026
米格國際站,桃園市八德區建國路626號 (於米格國際股份有限公司門口),24HR,已啟用,24.946594,121.289121
中油龜山站,桃園市龜山區萬壽路二段640號 (近萬壽路/自強北路口),24HR,已啟用,24.999881,121.346280
新屋北海加油站,桃園市新屋區三民路61號 (近中華路/三民路口),24HR,已啟用,24.970216,121.109920
中油蘆竹站,桃園市蘆竹區中正路342號 (近中正路/南山路口),24HR,已啟用,25.049356,121.291206
台灣中油佳興加油站,桃園市八德區介壽路二段631號 (近伍陽城市原創農場),24HR,已啟用,24.940961,121.297910
香草天空站,新北市坪林區水柳腳190之4號 (近坪林親水公園),10:00 ~ 18:00,已啟用,24.935878,121.703678
台北捷運亞東醫院站(建置中),新北市板橋區南雅南路2段17號 (近捷運亞東醫院站3號出口),24HR,建置中,24.997480,121.452383
台北捷運竹圍站(建置中),新北市淡水區民權路50號 (近捷運竹圍站1號出口),24HR,建置中,25.136976,121.459565
莒光路加油加氣站,新北市中和區莒光路258號 (近莒光路/壽德街口),24HR,已啟用,24.993894,121.467653
家樂福蘆洲店站,新北市三重區五華街282號B1F (近三重集賢環保公園),24HR,已啟用,25.087527,121.486609
中油山隆中和站,新北市中和區中正路1178號 (近板南路/中正路交接口),24HR,已啟用,25.009606,121.481719
台亞汐止大同站,新北市汐止區大同路二段37號 (近汐科火車站),24HR,已啟用,25.063135,121.647880
中油北基基金站,新北市萬里區萬里加投19之5號 (近大鵬國小),24HR,已啟用,25.209414,121.649813
台亞安坑交流道站,新北市新店區安康路一段308號 (近安康路/安和路口),24HR,已啟用,24.964380,121.517400
中油永錡中正站,新北市新莊區中正路692-8號 (近中正路/明志路口),24HR,已啟用,25.028484,121.419673
台塑中泰站,新北市泰山區泰林路二段32號 (近中港西路/泰林路口),24HR,已啟用,25.057258,121.436292
台塑大慶站,新北市樹林區三興路50號 (近三興路/大慶街口),24HR,已啟用,25.014562,121.395262
家樂福北大店站,新北市樹林區大雅路288號B2F (大雅路/學勤路口),09:00 ~ 22:00,已啟用,24.947527,121.379750
大嘉好加油站,新北市三芝區錫板里海尾14之32號 (近福海路/錫板里海尾口),24HR,已啟用,25.259897,121.477801
台北捷運丹鳳站(建置中),新北市新莊區中正路624之1號 (近捷運丹鳳站1號出口),24HR,建置中,25.029051,121.422421
台塑龍形站,新北市八里區龍米路二段150號 (近龍米河濱公園),24HR,已啟用,25.157114,121.435986
台北捷運輔大站(3號出口)(建置中),新北市新莊區中正路510之1號 (近捷運輔大站3號出口),24HR,建置中,25.032827,121.436634
台北捷運紅樹林站(建置中),新北市淡水區中正東路2段68號 (近捷運紅樹林站1號出口),24HR,建置中,25.154042,121.458872
台塑信誠站,新北市五股區新五路二段258號 (近新北市立圖書館五股分館),24HR,已啟用,25.081706,121.440913
中油淡海新市鎮站,新北市淡水區埤島里二鄰淡金路二段599號 (近淡金公路/新市二路口),24HR,已啟用,25.191881,121.446339
台北捷運輔大站(4號出口)(建置中),新北市新莊區中正路510之1號 (近捷運輔大站4號出口),24HR,建置中,25.033030,121.436529
Gogoro 板橋館前店站,新北市板橋區館前東路26號 (近誠品生活板橋店),24HR,已啟用,25.007247,121.460365
中油龍門站,新北市中和區中正路808號 (近中正路/建六路口),24HR,已啟用,25.002691,121.485087
Gogoro 三重正義店站,新北市三重區正義北路24號 (近捷運台北橋站),24HR,已啟用,25.063183,121.497509
中油山隆樹林站,新北市樹林區中華路66號 (近中華路/八德街口),24HR,已啟用,24.982010,121.420270
Diamond+專業汽車美容中心站,新北市永和區保安路23號1樓 (近保安路/文化路口),24HR,已啟用,25.016628,121.510266
中油永錡泰山站,新北市泰山區泰林路二段47號 (近泰林路/仁德路口),24HR,已啟用,25.057544,121.435248
車子路加油站,新北市新店區安康路二段269號 (近安康路/車子路口),24HR,已啟用,24.957625,121.504348
中油華城站,新北市新店區安康路一段319號 (近安康路/安華路口),24HR,已啟用,24.963634,121.522112
中油石門加油站,新北市石門區中央路1之15號 (近石門國中),24HR,已啟用,25.291241,121.561000
中油山隆林口站,新北市林口區文化二路二段553號 (近中華路/文化二路口),24HR,已啟用,25.090349,121.383464
中油五城站,新北市新店區安康路三段800號 (近新店區五城花園公墓),24HR,已啟用,24.939901,121.470723
德志茶園站,新北市坪林區北宜路8段239號 (近坪林旅遊服務中心),24HR,已啟用,24.935095,121.709245
Gogoro 永和中正店站,新北市永和區中正路236號 (近八二三紀念公園),24HR,已啟用,24.998068,121.516220
中油永錡保安站,新北市樹林區大安路179號 (近家樂福樹林店),24HR,已啟用,24.996052,121.421228
台北捷運府中站(建置中),新北市板橋區縣民大道1段193號 (近捷運府中站1號出口),24HR,建置中,25.008555,121.459183
台亞新店中興路站,新北市新店區中興路三段131號 (近捷運大坪林站1號出口),24HR,已啟用,24.979079,121.544453
中油北基中和站,新北市中和區中山路3段53號 (近環球中和店),24HR,已啟用,25.005568,121.476775
中油永錡彭厝站,新北市樹林區八德街395號 (近環河路/八德街交接口),24HR,已啟用,24.971858,121.415660
雅香茶莊站,新北市石碇區北宜路6段13股巷1號 (近十三股),24HR,已啟用,24.947447,121.649224
中油山隆鶯歌站,新北市鶯歌區永和二街28號 (近大湖路/永和街口),24HR,已啟用,24.971661,121.336631
台北捷運永寧站(建置中),新北市土城區中央路3段105號 (近捷運永寧站3號出口),24HR,建置中,24.966756,121.436498
林長站,新北市瑞芳區瑞濱路32之6號 (近瑞濱海灘),24HR,已啟用,25.121147,121.823512
中油新樹站,新北市新莊區中正路501號 (近中正路/新樹路口),24HR,已啟用,25.033360,121.440665
車太炫新北汐止站,新北市汐止區汐萬路一段39-5號 (近汐止國小),24HR,已啟用,25.069442,121.654544
中油北基新海站,新北市板橋區新海路137號 (近新埔國小),24HR,已啟用,25.023513,121.460444
台北捷運淡水站(建置中),新北市淡水區中正路1號 (近淡水紅毛城),24HR,建置中,25.167843,121.445578
中油勝利重新站,新北市三重區重新路五段628號 (近家樂福重新店),24HR,已啟用,25.044862,121.469163
中油昇泉加油站,新北市深坑區北深路三段7號 (近福容大飯店 台北二館),24HR,已啟用,25.000924,121.610442
台塑東林站,新北市鶯歌區中正一路461之5號 (近中正一路/建德二巷口),24HR,已啟用,24.956807,121.364302
Airport 淡水站,新北市淡水區中山路71號 (近淡水老街),24HR,已啟用,25.170427,121.442856
中油欣欣加油站,新北市新店區安和路三段35號 (近陽光運動公園),24HR,已啟用,24.981008,121.517088
中油北基幸運站,新北市新莊區新樹路140-1號 (近新樹路/建國一路口),24HR,已啟用,25.023053,121.435140
南山社區站,新北市平溪區靜安路三段250號 (近十分風景區),24HR,已啟用,25.040141,121.776024
中油長壽山站,新北市三峽區介壽路三段131號 (近溪北河濱公園),24HR,已啟用,24.941818,121.397827
文藻美語土城站,新北市土城區延和路42-1號 (近安和國小),24HR,已啟用,24.988777,121.465238
中油頂埔加油站,新北市土城區中央路四段43號 (近捷運頂埔站3號出口),24HR,已啟用,24.961747,121.422593
北基蘆洲加油站,新北市蘆洲區中山一路310號 (近中山一路/中山二路口),24HR,已啟用,25.077482,121.469409
台北捷運新店站(建置中),新北市新店區北宜路1段2號 (近碧潭風景區),24HR,建置中,24.957856,121.537584
