站名,地址,營業時間,目前狀態,緯度,經度
台灣中油東勇加油站,桃園市八德區東勇街246號,24HR,已啟用,24.962546,121.306867
山隆加油站龍興站,桃園市中壢區龍興路693號,24HR,已啟用,24.944908,121.245065
中油三民路站(建置中),桃園市桃園區三民路一段150號,24HR,建置中,24.999522,121.320535
中油春日路站(建置中),桃園市桃園區春日路971號,24HR,建置中,25.010544,121.310304
中油介壽站(建置中),桃園市桃園區介壽路324號,24HR,建置中,24.980268,121.305094
西歐桃園中山站,桃園市桃園區中山路1536號,24HR,已啟用,24.975859,121.265980
中油武陵站(建置中),桃園市桃園區中山路1020號,24HR,建置中,24.988393,121.284584
中油建龍站(建置中),桃園市龍潭區中豐路716號,24HR,建置中,24.888971,121.212724
北基忠義加油站,桃園市龜山區忠義路一段496號,24HR,已啟用,25.012155,121.347582
中油新坡站(建置中),桃園市觀音區中山路二段794號,24HR,建置中,25.010665,121.139445
山隆加油站蘆竹站,桃園市蘆竹區南崁路二段532號,24HR,已啟用,25.063696,121.265244
台灣中油金陵加油站,桃園市平鎮區金陵路二段123號,24HR,已啟用,24.940301,121.223289
中油龍岡站(建置中),桃園市中壢區環中東路二段659號,24HR,建置中,24.944290,121.230026
米格國際站,桃園市八德區建國路626號,24HR,已啟用,24.946594,121.289121
中油龜山站(建置中),桃園市龜山區萬壽路二段640號,24HR,建置中,24.999881,121.346280
新屋北海加油站,桃園市新屋區三民路61號,24HR,已啟用,24.970216,121.109920
中油蘆竹站(建置中),桃園市蘆竹區中正路342號,24HR,建置中,25.049356,121.291206
台灣中油佳興加油站,桃園市八德區介壽路二段631號,24HR,已啟用,24.940961,121.297910
特力家居站,桃園市蘆竹區中正路1號,24HR,已啟用,25.040449,121.295583
中油中壢工二站(建置中),桃園市中壢區吉林路37巷15號,24HR,建置中,24.979948,121.246969
北基東宏加油站,桃園市平鎮區南東路69號,24HR,已啟用,24.920930,121.214283
Gogoro 桃園中正店站,桃園市桃園區中正路50號,24HR,已啟用,24.990967,121.313085
南山社區站,新北市平溪區靜安路三段250號,24HR,已啟用,25.040141,121.776024
中油長壽山站,新北市三峽區介壽路三段131號,24HR,已啟用,24.941818,121.397827
文藻美語土城站,新北市土城區延和路42-1號,24HR,已啟用,24.988777,121.465238
中油頂埔加油站,新北市土城區中央路四段43號,24HR,已啟用,24.961747,121.422593
北基蘆洲加油站,新北市蘆洲區中山一路310號,24HR,已啟用,25.077482,121.469409
台北捷運新店站(建置中),新北市新店區北宜路1段2號,24HR,建置中,24.957856,121.537584
香草天空站,新北市坪林區水柳腳190之4號,10:00 ~ 18:00,已啟用,24.935878,121.703678
台北捷運亞東醫院站(建置中),新北市板橋區南雅南路2段17號,24HR,建置中,24.997480,121.452383
台北捷運竹圍站(建置中),新北市淡水區民權路50號,24HR,建置中,25.136976,121.459565
莒光路加油加氣站,新北市中和區莒光路258號,24HR,已啟用,24.993894,121.467653
家樂福蘆洲店站,新北市三重區五華街282號(地下一樓機車停車場),24HR,已啟用,25.087527,121.486609
中油山隆中和站,新北市中和區中正路1178號,24HR,已啟用,25.009606,121.481719
台亞汐止大同站,新北市汐止區大同路二段37號,24HR,已啟用,25.063135,121.647880
中油北基基金站,新北市萬里區萬里加投19之5號,24HR,已啟用,25.209414,121.649813
台亞安坑交流道站,新北市新店區安康路一段308號,24HR,已啟用,24.964380,121.517400
中油永錡中正站,新北市新莊區中正路692-8號,24HR,已啟用,25.028484,121.419673
台塑中泰站,新北市泰山區泰林路二段32號,24HR,已啟用,25.057258,121.436292
台塑大慶站,新北市樹林區三興路50號,24HR,已啟用,25.014562,121.395262
家樂福北大店站,新北市樹林區大雅路288號(地下二樓機車停車場),09:00 ~ 22:00,已啟用,24.947527,121.379750
大嘉好加油站,新北市三芝區錫板里海尾14號之32,24HR,已啟用,25.259897,121.477801
台北捷運丹鳳站(建置中),新北市新莊區中正路624之1號,24HR,建置中,25.029051,121.422421
台塑龍形站,新北市八里區龍米路二段150號,24HR,已啟用,25.157114,121.435986
台北捷運輔大站(3號出口)(建置中),新北市新莊區中正路510之1號,24HR,建置中,25.032827,121.436634
台北捷運紅樹林站(建置中),新北市淡水區中正東路2段68號,24HR,建置中,25.154042,121.458872
台塑信誠站,新北市五股區新五路二段258號,24HR,已啟用,25.081706,121.440913
中油淡海新市鎮站,新北市淡水區埤島里二鄰淡金路二段599號 (近淡金公路/新市二路口),24HR,已啟用,25.191881,121.446339
台北捷運輔大站(4號出口)(建置中),新北市新莊區中正路510之1號(中油輔大加油站旁),24HR,建置中,25.033030,121.436529
Gogoro 板橋館前店站,新北市板橋區館前東路26號,24HR,已啟用,25.007247,121.460365
中油龍門站,新北市中和區中正路808號,24HR,已啟用,25.002691,121.485087
Gogoro 三重正義店站,新北市三重區正義北路24號,24HR,已啟用,25.063183,121.497509
中油山隆樹林站,新北市樹林區中華路66號,24HR,已啟用,24.982010,121.420270
